AimagName_mng,SoumName_mng,BagName_mng,BagN,PlotName_mng,AimagName,SoumName,Bagname,PlotName,Longitude,Latitude,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
????-?????,????,???????,1,????,Govi-Altai,Tsogt,Rashaant,Uhaa,96.61444444,45.48025,,0.4,0.4,0.5,0.6,0.6,2.4,1,1,0.9,0.6,0.4,0.6,0.2
????-?????,????,??????,4,??????????? ??????/????? ???,Govi-Altai,Tsogt,Tugrug,Hashaalaagui talbai/Uuliin bel,96.65202778,45.33752778,0.01,0.2,0.3,2.1,3,3,0.5,1.7,1.1,1.2,0.7,0.7,0.7,0.3
????-?????,????,???????,2,??? ?????,Govi-Altai,Tseel,Bayangol,Bor uzuur,95.55088889,45.5325,1,0.2,0.2,2.4,2.2,2.2,1.3,2.3,1.2,3.6,0.3,0.8,0.2,0.1
????-?????,????,?????,1,???????????,Govi-Altai,Tseel,Buren,Aduunchuluun,96.04336111,45.48708333,0.8,0.2,0.2,1.8,2.2,2.2,1,1.7,0.6,1,0.2,0.7,0.8,0.4
????-?????,????,???????,3,?????? ???,Govi-Altai,Tseel,Derstei,Hotgor shar,95.32036111,45.45597222,0.1,0.2,0.6,2.4,2.2,2.2,0.6,1.1,0.4,1.5,0.6,0.6,0.4,0.6
????-?????,????,???????,4,??????????? ??????/????,Govi-Altai,Tseel,Jargalt,Hashaalaagui talbai/Denj,95.88291667,45.57091667,0.2,3,0.01,1.4,3,3,5.3,3.1,1.1,2,0.6,0.4,0.6,0.6
????-?????,????????,??????????,2,??????????? ??????/?????,Govi-Altai,Chandmani,Ulziibulag,Hashaalaagui talbai/Ulgii,98.11625,45.38327778,0.3,3,0.01,1.4,2.9,2.9,2.7,2.8,2.1,2.6,0.6,0.3,1,0.2
????-?????,????????,???????,4,???????,Govi-Altai,Chandmani,Hurhree,Hurhree,97.71275,45.44391667,0.3,2,0.01,1.6,2.5,2.5,1.2,2.5,1.5,2.4,0.8,0.3,1.2,0.7
????-?????,????????,????????-???,1,????? ???? ???,Govi-Altai,Chandmani,Chandmani-Uul,Uuliin uvur bel,98.20105556,45.31247222,0.1,3,0.01,1.1,2.4,2.4,3.5,3.1,1.6,2.3,0.9,0.3,1.4,0.4
????-?????,????????,??????-???,3,????? ??????,Govi-Altai,Chandmani,Erdene-Uul,Ulaan tolgoi,97.88902778,45.40722222,,1.1,0.01,3.6,6,6,0.9,1.3,2.1,3.1,0.8,0.4,1.1,0.2
